Generation,RMSE
0,0.580041209594068
1,0.5686187459774419
2,0.597433846880245
3,0.5339393444557666
4,0.5339393444557666
5,0.5432788472218169
6,0.5547893548872037
7,0.52459335866556
8,0.52459335866556
9,0.52459335866556
10,0.52459335866556
11,0.49410952218190707
12,0.49410952218190707
13,0.49154945510740294
14,0.49154945510740294
15,0.49410952218190707
16,0.5116133534721294
17,0.5116133534721294
18,0.5020603046527895
19,0.4820729478855067
20,0.43598763015150765
21,0.4644547270178889
22,0.4644547270178889
23,0.3946418572591065
24,0.4339740920456743
25,0.4339740920456743
26,0.4173624080998626
27,0.4339740920456743
28,0.4278077516214534
29,0.4397399244608443
30,0.4379748133062541
31,0.43460270647345156
32,0.4379748133062541
33,0.4405992217034829
34,0.4283857565845579
35,0.4283857565845579
36,0.4283857565845579
37,0.4405992217034829
38,0.4398780932759965
39,0.42987809327599646
40,0.4242426695558838
41,0.41495384491436066
42,0.4185771252959041
43,0.4185771252959041
44,0.4185771252959041
45,0.4169677369702039
46,0.4185771252959041
47,0.3750741255682949
48,0.41598763015150764
49,0.41598763015150764
50,0.4041440732108471
51,0.4160518337447551
52,0.4159876301515077
53,0.4242426695558838
54,0.404879180430197
55,0.39662509750525854
56,0.39662509750525854
57,0.4004731191892824
58,0.4004731191892824
59,0.4004731191892824
60,0.4004731191892824
61,0.4004731191892824
62,0.40929677336408143
63,0.40929677336408143
64,0.35702359177831655
65,0.4018172298654931
66,0.4097782811678132
67,0.4097782811678132
68,0.4097782811678132
69,0.39281647181346824
70,0.39281647181346824
71,0.39281647181346824
72,0.3921455116143042
73,0.3921455116143042
74,0.39281647181346824
75,0.39281647181346824
76,0.3906774213181522
77,0.41385952914732155
78,0.40027027788365543
79,0.41385952914732155
80,0.39281647181346824
81,0.41314463771327703
82,0.3906774213181522
83,0.41385952914732155
84,0.4005729464074229
85,0.4093963750376247
86,0.4093963750376247
87,0.4062196461087101
88,0.3860963340900686
89,0.39649604790717996
90,0.4040672190983679
91,0.4040672190983679
92,0.3964226074308764
93,0.3964226074308764
94,0.4062196461087101
95,0.38372504364669
96,0.38372504364669
97,0.3834284998363244
98,0.3834284998363244
99,0.3834284998363244
100,0.3834284998363244
101,0.3834284998363244
102,0.3834284998363244
103,0.3834284998363244
104,0.3834284998363244
105,0.3834284998363244
106,0.3834284998363244
107,0.3834284998363244
108,0.3959860650186093
109,0.3914337318947946
110,0.3914337318947946
111,0.3906774213181522
112,0.3914337318947946
113,0.3914337318947946
114,0.3914337318947946
115,0.3834284998363244
116,0.3834284998363244
117,0.3834284998363244
118,0.3906774213181522
119,0.3914337318947946
120,0.33122242413021363
121,0.38372504364669
122,0.38372504364669
123,0.38372504364669
124,0.38372504364669
125,0.38372504364669
126,0.38372504364669
127,0.38372504364669
128,0.38372504364669
129,0.3889552709485803
130,0.3889552709485803
131,0.3889552709485803
132,0.38372504364669
133,0.3837796101416198
134,0.3795627655102751
135,0.3795627655102751
136,0.3795627655102751
137,0.3837796101416198
138,0.3722605625512867
139,0.3722605625512867
140,0.3837796101416198
141,0.3837796101416198
142,0.3837796101416198
143,0.3837796101416198
144,0.38372504364669
145,0.38372504364669
146,0.38372504364669
147,0.38203607096233805
148,0.38203607096233805
149,0.38372504364669
150,0.38372504364669
